年次,市区町村コード,全国，都道府県，市区町村,昼間人口
2020年,12463,鋸南町,"6,077"
2020年,13000,東京都,"16,315,279"
2020年,13100,特別区部,"12,346,348"
2020年,13101,千代田区,"903,780"
2020年,13102,中央区,"633,390"
2020年,13103,港区,"972,673"
2020年,13104,新宿区,"793,528"
2020年,13105,文京区,"353,648"
2020年,13106,台東区,"307,176"
2020年,13107,墨田区,"281,971"
2020年,13108,江東区,"633,813"
2020年,13109,品川区,"582,156"
2020年,13110,目黒区,"301,801"
2020年,13111,大田区,"722,027"
2020年,13112,世田谷区,"854,838"
2020年,13113,渋谷区,"551,344"
2020年,13114,中野区,"325,767"
2020年,13115,杉並区,"498,067"
2020年,13116,豊島区,"412,070"
2020年,13117,北区,"332,018"
2020年,13118,荒川区,"193,640"
2020年,13119,板橋区,"523,358"
2020年,13120,練馬区,"601,359"
2020年,13121,足立区,"619,375"
2020年,13122,葛飾区,"376,832"
2020年,13123,江戸川区,"571,717"
2020年,13201,八王子市,"574,070"
2020年,13202,立川市,"207,832"
2020年,13203,武蔵野市,"162,221"
2020年,13204,三鷹市,"175,413"
2020年,13205,青梅市,"120,804"
2020年,13206,府中市,"249,891"
2020年,13207,昭島市,"105,988"
2020年,13208,調布市,"215,825"
2020年,13209,町田市,"389,137"
2020年,13210,小金井市,"110,012"
2020年,13211,小平市,"176,977"
2020年,13212,日野市,"168,522"
2020年,13213,東村山市,"124,202"
2020年,13214,国分寺市,"110,258"
2020年,13215,国立市,"73,548"
2020年,13218,福生市,"51,695"
2020年,13219,狛江市,"62,979"
2020年,13220,東大和市,"67,364"
2020年,13221,清瀬市,"65,931"
2020年,13222,東久留米市,"95,619"
2020年,13223,武蔵村山市,"67,567"
2020年,13224,多摩市,"146,247"
2020年,13225,稲城市,"74,976"
2020年,13227,羽村市,"51,710"
2020年,13228,あきる野市,"67,342"
2020年,13229,西東京市,"167,697"
2020年,13303,瑞穂町,"35,317"
2020年,13305,日の出町,"17,760"
2020年,13307,檜原村,"2,133"
2020年,13308,奥多摩町,"4,925"
2020年,13361,大島町,"7,276"
2020年,13362,利島村,351
2020年,13363,新島村,"2,451"
