Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency
M,ITM,OSA,OKA,OKA,Domestic,44682,70
M,ITM,OSA,FKS,FKS,Domestic,44682,62
M,ITM,OSA,CTS,SPK,Domestic,44682,124
M,ITM,OSA,SDJ,SDJ,Domestic,44682,150
L,KIX,OSA,KUH,KUH,Domestic,44682,27
M,KIX,OSA,CTS,SPK,Domestic,44682,50
L,KIX,OSA,MNL,MNL,International,44682,4
M,KIX,OSA,BKK,BKK,International,44682,5
M,ITM,OSA,FKS,FKS,Domestic,44682,62
M,KIX,OSA,HND,TYO,Domestic,44682,155
M,ITM,OSA,SDJ,SDJ,Domestic,44682,217
M,ITM,OSA,SDJ,SDJ,Domestic,44682,1
M,ITM,OSA,AXT,AXT,Domestic,44682,31
M,ITM,OSA,OKA,OKA,Domestic,44682,39
M,ITM,OSA,OIT,OIT,Domestic,44682,31
M,KIX,OSA,ICN,SEL,International,44682,1
M,ITM,OSA,OIT,OIT,Domestic,44682,4
M,KIX,OSA,DXB,DXB,International,44682,21
M,KIX,OSA,HKG,HKG,International,44682,8
M,ITM,OSA,KIJ,KIJ,Domestic,44682,124
M,ITM,OSA,OIT,OIT,Domestic,44682,89
L,KIX,OSA,MMB,MMB,Domestic,44682,25
M,ITM,OSA,FUK,FUK,Domestic,44682,62
M,UKB,OSA,CTS,SPK,Domestic,44682,1
M,ITM,OSA,OKA,OKA,Domestic,44682,9
M,ITM,OSA,FUK,FUK,Domestic,44682,30
M,ITM,OSA,KMJ,KMJ,Domestic,44682,90
M,ITM,OSA,HND,TYO,Domestic,44682,31
M,KIX,OSA,MMY,MMY,Domestic,44682,39
L,KIX,OSA,PVG,SHA,International,44682,4
M,ITM,OSA,HKD,HKD,Domestic,44682,31
M,ITM,OSA,HND,TYO,Domestic,44682,7
M,KIX,OSA,ICN,SEL,International,44682,6
M,ITM,OSA,NRT,TYO,Domestic,44682,31
M,KIX,OSA,TPE,TPE,International,44682,35
M,ITM,OSA,HND,TYO,Domestic,44682,2
