Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency
L,FUK,FUK,OKA,OKA,Domestic,Jul-22,23
L,FUK,FUK,HAN,HAN,International,Jul-22,13
M,FUK,FUK,HND,TYO,Domestic,Jul-22,22
M,FUK,FUK,HND,TYO,Domestic,Jul-22,44
M,FUK,FUK,KMI,KMI,Domestic,Jul-22,217
M,FUK,FUK,OKA,OKA,Domestic,Jul-22,155
M,FUK,FUK,KUM,KUM,Domestic,Jul-22,31
M,FUK,FUK,KMI,KMI,Domestic,Jul-22,186
M,FUK,FUK,HND,TYO,Domestic,Jul-22,20
M,FUK,FUK,IZO,IZO,Domestic,Jul-22,62
M,FUK,FUK,ASJ,ASJ,Domestic,Jul-22,31
L,FUK,FUK,OKA,OKA,Domestic,Jul-22,31
M,FUK,FUK,TPE,TPE,International,Jul-22,14
L,FUK,FUK,ICN,SEL,International,Jul-22,37
M,FUK,FUK,ICN,SEL,International,Jul-22,6
M,FUK,FUK,HND,TYO,Domestic,Jul-22,61
M,FUK,FUK,CTS,SPK,Domestic,Jul-22,9
M,FUK,FUK,ITM,OSA,Domestic,Jul-22,31
M,FUK,FUK,MNL,MNL,International,Jul-22,1
L,FUK,FUK,BKK,BKK,International,Jul-22,7
M,FUK,FUK,CTS,SPK,Domestic,Jul-22,31
M,FUK,FUK,KMQ,KMQ,Domestic,Jul-22,124
M,FUK,FUK,FUJ,FUJ,Domestic,Jul-22,93
M,FUK,FUK,ICN,SEL,International,Jul-22,17
M,FUK,FUK,HND,TYO,Domestic,Jul-22,307
M,FUK,FUK,HND,TYO,Domestic,Jul-22,255
L,FUK,FUK,CTS,SPK,Domestic,Jul-22,31
M,FUK,FUK,HND,TYO,Domestic,Jul-22,17
M,FUK,FUK,TSJ,TSJ,Domestic,Jul-22,155
L,FUK,FUK,KIX,OSA,Domestic,Jul-22,31
M,FUK,FUK,TPE,TPE,International,Jul-22,12
M,FUK,FUK,HAN,HAN,International,Jul-22,8
M,FUK,FUK,HND,TYO,Domestic,Jul-22,2
M,FUK,FUK,TKS,TKS,Domestic,Jul-22,62
L,FUK,FUK,ISG,ISG,Domestic,Jul-22,31
M,FUK,FUK,NGO,NGO,Domestic,Jul-22,61
M,FUK,FUK,OKA,OKA,Domestic,Jul-22,186
M,FUK,FUK,HNA,HNA,Domestic,Jul-22,31
M,FUK,FUK,KIJ,KIJ,Domestic,Jul-22,62
L,FUK,FUK,KIX,OSA,Domestic,Jul-22,77
L,FUK,FUK,MNL,MNL,International,Jul-22,6
M,FUK,FUK,ICN,SEL,International,Jul-22,9
L,FUK,FUK,IBR,IBR,Domestic,Jul-22,31
L,FUK,FUK,OKA,OKA,Domestic,Jul-22,124
M,FUK,FUK,NKM,NGO,Domestic,Jul-22,155
M,FUK,FUK,TPE,TPE,International,Jul-22,10
M,FUK,FUK,CTS,SPK,Domestic,Jul-22,31
M,FUK,FUK,KOJ,KOJ,Domestic,Jul-22,31
M,FUK,FUK,HND,TYO,Domestic,Jul-22,34
M,FUK,FUK,AXJ,AXJ,Domestic,Jul-22,93
M,FUK,FUK,HND,TYO,Domestic,Jul-22,1
L,FUK,FUK,OKA,OKA,Domestic,Jul-22,93
M,FUK,FUK,ITM,OSA,Domestic,Jul-22,31
M,FUK,FUK,HND,TYO,Domestic,Jul-22,40
L,FUK,FUK,NGO,NGO,Domestic,Jul-22,116
M,FUK,FUK,CTS,SPK,Domestic,Aug-22,31
M,FUK,FUK,NGO,NGO,Domestic,Aug-22,30
M,FUK,FUK,TPE,TPE,International,Aug-22,9
M,FUK,FUK,ITM,OSA,Domestic,Aug-22,31
M,FUK,FUK,SDJ,SDJ,Domestic,Aug-22,62
L,FUK,FUK,MNL,MNL,International,Aug-22,13
M,FUK,FUK,SGN,SGN,International,Aug-22,8
M,FUK,FUK,NGO,NGO,Domestic,Aug-22,31
L,FUK,FUK,NGO,NGO,Domestic,Aug-22,124
M,FUK,FUK,HND,TYO,Domestic,Aug-22,65
M,FUK,FUK,HND,TYO,Domestic,Aug-22,49
L,FUK,FUK,HKG,HKG,International,Aug-22,5
M,FUK,FUK,KMI,KMI,Domestic,Aug-22,217
L,FUK,FUK,TPE,TPE,International,Aug-22,6
M,FUK,FUK,HND,TYO,Domestic,Aug-22,6
M,FUK,FUK,ICN,SEL,International,Aug-22,8
M,FUK,FUK,MNL,MNL,International,Aug-22,1
M,FUK,FUK,OKA,OKA,Domestic,Aug-22,186
M,FUK,FUK,TPE,TPE,International,Aug-22,13
M,FUK,FUK,OKA,OKA,Domestic,Aug-22,1
M,FUK,FUK,HND,TYO,Domestic,Aug-22,31
M,FUK,FUK,ICN,SEL,International,Aug-22,5
M,FUK,FUK,HAN,HAN,International,Aug-22,1
M,FUK,FUK,HND,TYO,Domestic,Aug-22,14
M,FUK,FUK,TPE,TPE,International,Aug-22,10
M,FUK,FUK,HND,TYO,Domestic,Aug-22,1
M,FUK,FUK,NKM,NGO,Domestic,Aug-22,155
M,FUK,FUK,HND,TYO,Domestic,Aug-22,51
M,FUK,FUK,KUM,KUM,Domestic,Aug-22,31
M,FUK,FUK,KIJ,KIJ,Domestic,Aug-22,62
M,FUK,FUK,SDJ,SDJ,Domestic,Aug-22,155
M,FUK,FUK,HKG,HKG,International,Aug-22,9
L,FUK,FUK,ICN,SEL,International,Aug-22,3
M,FUK,FUK,PUS,PUS,International,Aug-22,9
M,FUK,FUK,ASJ,ASJ,Domestic,Aug-22,31
M,FUK,FUK,ITM,OSA,Domestic,Aug-22,62
M,FUK,FUK,FSZ,FSZ,Domestic,Aug-22,124
M,FUK,FUK,OKA,OKA,Domestic,Aug-22,115
M,FUK,FUK,KMQ,KMQ,Domestic,Aug-22,118
M,FUK,FUK,HNA,HNA,Domestic,Aug-22,31
M,FUK,FUK,ITM,OSA,Domestic,Aug-22,42
L,FUK,FUK,NRT,TYO,Domestic,Aug-22,62
M,FUK,FUK,MMJ,MMJ,Domestic,Aug-22,62
M,FUK,FUK,MNL,MNL,International,Aug-22,29
M,FUK,FUK,SIN,SIN,International,Aug-22,8
L,FUK,FUK,BKK,BKK,International,Aug-22,14
M,FUK,FUK,MNL,MNL,International,Aug-22,1
M,FUK,FUK,MYJ,MYJ,Domestic,Aug-22,124
L,FUK,FUK,NRT,TYO,Domestic,Aug-22,365
M,FUK,FUK,HND,TYO,Domestic,Aug-22,17
L,FUK,FUK,CTS,SPK,Domestic,Aug-22,31
M,FUK,FUK,MMY,MMY,Domestic,Aug-22,11
M,FUK,FUK,HND,TYO,Domestic,Aug-22,62
M,FUK,FUK,CTS,SPK,Domestic,Aug-22,62
M,FUK,FUK,TPE,TPE,International,Aug-22,14
L,FUK,FUK,NRT,TYO,Domestic,Aug-22,30
M,FUK,FUK,HND,TYO,Domestic,Aug-22,336
M,FUK,FUK,TSJ,TSJ,Domestic,Aug-22,160
M,FUK,FUK,HND,TYO,Domestic,Aug-22,248
M,FUK,FUK,HND,TYO,Domestic,Aug-22,140
M,FUK,FUK,HND,TYO,Domestic,Aug-22,62
L,FUK,FUK,IBR,IBR,Domestic,Aug-22,31
M,FUK,FUK,GUM,GUM,International,Aug-22,8
M,FUK,FUK,ITM,OSA,Domestic,Aug-22,31
M,FUK,FUK,ITM,OSA,Domestic,Aug-22,82
M,FUK,FUK,KOJ,KOJ,Domestic,Aug-22,31
M,FUK,FUK,FUJ,FUJ,Domestic,Aug-22,101
L,FUK,FUK,HND,TYO,Domestic,Aug-22,372
M,FUK,FUK,OKA,OKA,Domestic,Aug-22,38
M,FUK,FUK,NGO,NGO,Domestic,Aug-22,32
M,FUK,FUK,ICN,SEL,International,Aug-22,13
M,FUK,FUK,AXJ,AXJ,Domestic,Aug-22,93
L,FUK,FUK,OKA,OKA,Domestic,Aug-22,31
L,FUK,FUK,OKA,OKA,Domestic,Aug-22,124
L,FUK,FUK,CTS,SPK,Domestic,Aug-22,33
M,FUK,FUK,HND,TYO,Domestic,Aug-22,35
M,FUK,FUK,TKS,TKS,Domestic,Aug-22,62
L,FUK,FUK,HAN,HAN,International,Aug-22,13
M,FUK,FUK,KIJ,KIJ,Domestic,Aug-22,31
M,FUK,FUK,KMI,KMI,Domestic,Aug-22,168
L,FUK,FUK,ISG,ISG,Domestic,Aug-22,31
M,FUK,FUK,ITM,OSA,Domestic,Aug-22,31
M,FUK,FUK,HND,TYO,Domestic,Aug-22,1
M,FUK,FUK,ICN,SEL,International,Aug-22,5
L,FUK,FUK,OKA,OKA,Domestic,Aug-22,93
L,FUK,FUK,KIX,OSA,Domestic,Aug-22,31
L,FUK,FUK,ICN,SEL,International,Aug-22,44
M,FUK,FUK,OKA,OKA,Domestic,Aug-22,83
M,FUK,FUK,HND,TYO,Domestic,Aug-22,1
M,FUK,FUK,HND,TYO,Domestic,Aug-22,205
M,FUK,FUK,KCZ,KCZ,Domestic,Aug-22,62
M,FUK,FUK,HAN,HAN,International,Aug-22,13
M,FUK,FUK,NGO,NGO,Domestic,Aug-22,214
M,FUK,FUK,ICN,SEL,International,Aug-22,2
L,FUK,FUK,OKA,OKA,Domestic,Aug-22,31
L,FUK,FUK,KIX,OSA,Domestic,Aug-22,70
M,FUK,FUK,CTS,SPK,Domestic,Aug-22,31
M,FUK,FUK,IZO,IZO,Domestic,Aug-22,62
M,FUK,FUK,HND,TYO,Domestic,Aug-22,39
M,FUK,FUK,HND,TYO,Domestic,Sep-22,6
L,FUK,FUK,ICN,SEL,International,Sep-22,4
L,FUK,FUK,KIX,OSA,Domestic,Sep-22,30
