Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency,dep_lat,dep_lon,arr_lat,arr_lon
M,JFK,NYC,AMM,AMM,International,Apr-22,18,40.7127753,-74.0059728,31.9543786,35.9105776
M,EWR,NYC,SRQ,SRQ,Domestic,Apr-22,25,40.7127753,-74.0059728,27.4989278,-82.5748194
M,JFK,NYC,LIM,LIM,International,Apr-22,4,40.7127753,-74.0059728,-12.0466888,-77.0430886
L,EWR,NYC,ATL,ATL,Domestic,Apr-22,14,40.7127753,-74.0059728,33.748752,-84.3876845
M,LGA,NYC,STL,STL,Domestic,Apr-22,35,40.7127753,-74.0059728,38.6270025,-90.1994042
M,JFK,NYC,PHX,PHX,Domestic,Apr-22,21,40.7127753,-74.0059728,33.4483771,-112.0740373
M,LGA,NYC,MSN,MSN,Domestic,Apr-22,25,40.7127753,-74.0059728,37.7143001,-84.3121264
M,JFK,NYC,PTY,PTY,International,Apr-22,120,40.7127753,-74.0059728,8.9823792,-79.5198696
L,EWR,NYC,MBJ,MBJ,International,Apr-22,30,40.7127753,-74.0059728,18.4713814,-77.9228676
L,JFK,NYC,MBJ,MBJ,International,Apr-22,60,40.7127753,-74.0059728,18.4713814,-77.9228676
M,EWR,NYC,PVD,PVD,Domestic,Apr-22,47,40.7127753,-74.0059728,41.8239891,-71.4128343
M,EWR,NYC,DUB,DUB,International,Apr-22,30,40.7127753,-74.0059728,53.3498053,-6.2603097
M,LGA,NYC,OKC,OKC,Domestic,Apr-22,30,40.7127753,-74.0059728,35.4675602,-97.5164276
M,EWR,NYC,PHX,PHX,Domestic,Apr-22,3,40.7127753,-74.0059728,33.4483771,-112.0740373
L,LGA,NYC,DAL,DFW,Domestic,Apr-22,38,40.7127753,-74.0059728,32.7078751,-96.9209135
M,JFK,NYC,GEO,GEO,International,Apr-22,30,40.7127753,-74.0059728,6.8012793,-58.1551255
M,EWR,NYC,FCO,ROM,International,Apr-22,30,40.7127753,-74.0059728,41.8967068,12.4822025
M,JFK,NYC,CDG,PAR,International,Apr-22,30,40.7127753,-74.0059728,48.8575475,2.3513765
M,JFK,NYC,AUA,AUA,International,Apr-22,29,40.7127753,-74.0059728,12.52111,-69.968338
M,EWR,NYC,SDF,SDF,Domestic,Apr-22,54,40.7127753,-74.0059728,38.2526647,-85.7584557
