Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency,dep_lat,dep_lon,arr_lat,arr_lon
M,LHR,LON,LIN,MIL,International,Apr-22,1,51.5072178,-0.1275862,45.468503,9.1824027
M,LHR,LON,ABZ,ABZ,Domestic,Apr-22,1,51.5072178,-0.1275862,57.1498891,-2.0937528
M,LHR,LON,JFK,NYC,International,Apr-22,4,51.5072178,-0.1275862,40.7127753,-74.0059728
L,STN,LON,FKB,FKB,International,Apr-22,39,51.5072178,-0.1275862,48.76564,8.2285242
L,STN,LON,NOC,NOC,International,Apr-22,10,51.5072178,-0.1275862,53.7900638,-8.921466
M,LGW,LON,TLS,TLS,International,Apr-22,1,51.5072178,-0.1275862,43.6048462,1.442848
L,LTN,LON,OTP,BUH,International,Apr-22,12,51.5072178,-0.1275862,44.4267674,26.1025384
M,LHR,LON,LIS,LIS,International,Apr-22,31,51.5072178,-0.1275862,37.7412488,-25.6755944
M,LGW,LON,SJO,SJO,International,Apr-22,10,51.5072178,-0.1275862,9.9280694,-84.0907246
M,LHR,LON,DUS,DUS,International,Apr-22,1,51.5072178,-0.1275862,51.2230411,6.7824545
M,LHR,LON,BER,BER,International,Apr-22,1,51.5072178,-0.1275862,52.5200066,13.404954
M,LHR,LON,MAD,MAD,International,Apr-22,16,51.5072178,-0.1275862,40.4167279,-3.7032905
L,LTN,LON,BCM,BCM,International,Apr-22,41,51.5072178,-0.1275862,46.5670437,26.9145748
M,LHR,LON,IBZ,IBZ,International,Apr-22,5,51.5072178,-0.1275862,39.0200099,1.4821482
M,LHR,LON,ZRH,ZRH,International,Apr-22,8,51.5072178,-0.1275862,47.3768866,8.541694
M,LHR,LON,YYZ,YTO,International,Apr-22,59,51.5072178,-0.1275862,43.653226,-79.3831843
L,LGW,LON,ATH,ATH,International,Apr-22,7,51.5072178,-0.1275862,37.9838096,23.7275388
M,STN,LON,AYT,AYT,International,Apr-22,28,51.5072178,-0.1275862,36.8968908,30.7133233
L,LTN,LON,SSH,SSH,International,Apr-22,9,51.5072178,-0.1275862,27.9654198,34.3617769
L,LGW,LON,ALC,ALC,International,Apr-22,9,51.5072178,-0.1275862,38.3457685,-0.4909444
L,LGW,LON,PMI,PMI,International,Apr-22,11,51.5072178,-0.1275862,39.5726541,2.6568551
