Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency,dep_lat,dep_lon,arr_lat,arr_lon,Arr City Name,Arr Country Name
L,SIN,SIN,BKK,BKK,International,22-Apr,8,1.2830173,103.8513365,13.7563309,100.5017651,BANGKOK,Thailand
L,SIN,SIN,MFM,MFM,International,22-Apr,3,1.2830173,103.8513365,22.198745,113.543873,MACAO,"Macao (SAR), China"
M,SIN,SIN,KTM,KTM,International,22-Apr,11,1.2830173,103.8513365,27.7172453,85.3239605,KATHMANDU,Nepal
M,SIN,SIN,KUL,KUL,International,22-Apr,14,1.2830173,103.8513365,3.1319197,101.6840589,KUALA LUMPUR,Malaysia
L,SIN,SIN,JED,JED,International,22-Apr,13,1.2830173,103.8513365,21.5291545,39.1610863,JEDDAH,Saudi Arabia
M,SIN,SIN,RGN,RGN,International,22-Apr,2,1.2830173,103.8513365,16.840939,96.173526,YANGON,Myanmar
M,SIN,SIN,AMS,AMS,International,22-Apr,30,1.2830173,103.8513365,52.3675734,4.9041389,AMSTERDAM,Netherlands
L,SIN,SIN,SUB,SUB,International,22-Apr,19,1.2830173,103.8513365,-7.2574719,112.7520883,SURABAYA,Indonesia
M,SIN,SIN,BAH,BAH,International,22-Apr,11,1.2830173,103.8513365,26.0667,50.5577,BAHRAIN,Bahrain
M,SIN,SIN,CMB,CMB,International,22-Apr,34,1.2830173,103.8513365,6.9270786,79.861243,COLOMBO,Sri Lanka
M,SIN,SIN,NRT,TYO,International,22-Apr,30,1.2830173,103.8513365,35.6811673,139.7670516,TOKYO,Japan
M,SIN,SIN,SUB,SUB,International,22-Apr,10,1.2830173,103.8513365,-7.2574719,112.7520883,SURABAYA,Indonesia
M,SIN,SIN,BKK,BKK,International,22-Apr,32,1.2830173,103.8513365,13.7563309,100.5017651,BANGKOK,Thailand
L,SIN,SIN,ICN,SEL,International,22-Apr,4,1.2830173,103.8513365,37.5652129,126.9773517,SEOUL,Korea (Rep. of)
M,SIN,SIN,MEL,MEL,International,22-Apr,2,1.2830173,103.8513365,-37.8136276,144.9630576,MELBOURNE,Australia
M,SIN,SIN,CAN,CAN,International,22-Apr,4,1.2830173,103.8513365,23.1290799,113.26436,GUANGZHOU,"China, People’s Republic of"
L,SIN,SIN,MFM,MFM,International,22-Apr,10,1.2830173,103.8513365,22.198745,113.543873,MACAO,"Macao (SAR), China"
M,SIN,SIN,AKL,AKL,International,22-Apr,30,1.2830173,103.8513365,-36.8508827,174.7644881,AUCKLAND,New Zealand
M,SIN,SIN,CHC,CHC,International,22-Apr,17,1.2830173,103.8513365,-43.5320301,172.636648,CHRISTCHURCH,New Zealand
M,SIN,SIN,KUL,KUL,International,22-Apr,31,1.2830173,103.8513365,3.1319197,101.6840589,KUALA LUMPUR,Malaysia
M,SIN,SIN,BOM,BOM,International,22-Apr,5,1.2830173,103.8513365,19.0759837,72.8776559,MUMBAI,India (including Andaman Isl.)
M,SIN,SIN,MLE,MLE,International,22-Apr,60,1.2830173,103.8513365,4.1752709,73.5091172,MALE,Maldives
M,SIN,SIN,BOM,BOM,International,22-Apr,30,1.2830173,103.8513365,19.0759837,72.8776559,MUMBAI,India (including Andaman Isl.)
L,SIN,SIN,SYD,SYD,International,22-Apr,43,1.2830173,103.8513365,-33.8688197,151.2092955,SYDNEY,Australia
M,SIN,SIN,JNB,JNB,International,22-Apr,30,1.2830173,103.8513365,-26.205647,28.0337185,JOHANNESBURG,South Africa
