Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency,dep_lat,dep_lon,arr_lat,arr_lon,Arr City Name,Arr Country Name
L,FUK,FUK,KIX,OSA,Domestic,22-Jun,30,33.5901838,130.4016888,34.6937249,135.5022535,OSAKA,Japan
M,FUK,FUK,HND,TYO,Domestic,22-Jun,207,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,OKA,OKA,Domestic,22-Jun,171,33.5901838,130.4016888,26.3343533,127.8056058,OKINAWA,Japan
M,FUK,FUK,HNA,HNA,Domestic,22-Jun,30,33.5901838,130.4016888,39.3886253,141.1168998,HANAMAKI,Japan
M,FUK,FUK,TPE,TPE,International,22-Jun,8,33.5901838,130.4016888,25.0329694,121.5654177,TAIPEI,Chinese Taipei
L,FUK,FUK,NGO,NGO,Domestic,22-Jun,102,33.5901838,130.4016888,35.1814506,136.9065571,NAGOYA,Japan
M,FUK,FUK,ITM,OSA,Domestic,22-Jun,30,33.5901838,130.4016888,34.6937249,135.5022535,OSAKA,Japan
L,FUK,FUK,NRT,TYO,Domestic,22-Jun,51,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,PUS,PUS,International,22-Jun,4,33.5901838,130.4016888,35.1731121,129.0714122,BUSAN,Korea (Rep. of)
L,FUK,FUK,NRT,TYO,Domestic,22-Jun,308,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,HND,TYO,Domestic,22-Jun,21,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,HKG,HKG,International,22-Jun,9,33.5901838,130.4016888,22.3193039,114.1693611,HONG KONG,"Hong Kong (SAR), China"
M,FUK,FUK,HND,TYO,Domestic,22-Jun,30,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
L,FUK,FUK,CTS,SPK,Domestic,22-Jun,30,33.5901838,130.4016888,43.0617713,141.3544506,SAPPORO,Japan
M,FUK,FUK,HND,TYO,Domestic,22-Jun,11,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,HND,TYO,Domestic,22-Jun,3,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,CTS,SPK,Domestic,22-Jun,1,33.5901838,130.4016888,43.0617713,141.3544506,SAPPORO,Japan
M,FUK,FUK,HND,TYO,Domestic,22-Jun,30,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,NGO,NGO,Domestic,22-Jun,37,33.5901838,130.4016888,35.1814506,136.9065571,NAGOYA,Japan
M,FUK,FUK,HND,TYO,Domestic,22-Jun,299,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,TPE,TPE,International,22-Jun,4,33.5901838,130.4016888,25.0329694,121.5654177,TAIPEI,Chinese Taipei
M,FUK,FUK,OKA,OKA,Domestic,22-Jun,4,33.5901838,130.4016888,26.3343533,127.8056058,OKINAWA,Japan
M,FUK,FUK,NGO,NGO,Domestic,22-Jun,210,33.5901838,130.4016888,35.1814506,136.9065571,NAGOYA,Japan
L,FUK,FUK,ICN,SEL,International,22-Jun,17,33.5901838,130.4016888,37.550263,126.9970831,SEOUL,Korea (Rep. of)
M,FUK,FUK,MNL,MNL,International,22-Jun,23,33.5901838,130.4016888,14.5995124,120.9842195,MANILA,Philippines
